ticker,date,pos,neg,unc,ceo_ratio,analyst_ratio,net_sentiment,sector,Adj Close,returns_market,rolling_corr_net_sent,recommendation_mean
BLK,2014-10-15 22:50:06,0.0373,0.0111,0.0091,0.0833333333333333,0.0,0.0262,Financial Services,240.69898986816406,0.01183441820952491,,1.9
BLK,2015-01-16 04:09:08,0.0235,0.0118,0.0108,0.2,0.0,0.0117,Financial Services,271.3948974609375,0.01641149709994072,0.637636951464328,1.9
BLK,2015-04-16 17:48:06,0.0349,0.013,0.016,0.2,0.0,0.021900000000000003,Financial Services,291.89678955078125,-0.011893488049538825,-0.3164358873380669,1.9
BLK,2015-07-15 18:22:06,0.028,0.0106,0.0116,0.1818181818181818,0.0,0.0174,Financial Services,273.4140319824219,0.010970536029636602,-0.40046185171111176,1.9
BLK,2015-10-14 19:30:06,0.0295,0.0148,0.0177,0.1818181818181818,0.0,0.014699999999999998,Financial Services,256.25494384765625,0.023324893535706437,-0.8688666747934853,1.9
BLK,2016-01-15 19:06:11,0.0325,0.0108,0.0148,0.2222222222222222,0.1111111111111111,0.0217,Financial Services,237.10211181640625,-0.043290709891640966,-0.8812557855215728,1.9
BLK,2016-04-14 17:39:09,0.0343,0.0187,0.0146,0.1818181818181818,0.0,0.015599999999999996,Financial Services,285.7369689941406,0.01900681806284399,-0.9794219596148581,1.9
BLK,2016-07-14 19:41:42,0.0315,0.0163,0.0173,0.1818181818181818,0.0,0.015200000000000002,Financial Services,287.76995849609375,-0.006461299529974318,-0.9068226583995808,1.9
BLK,2016-10-18 19:23:05,0.022,0.011,0.013,0.1538461538461538,0.0,0.011,Financial Services,290.6745300292969,0.00561199991384842,-0.7923470067766576,1.9
BLK,2017-01-13 18:03:10,0.0218,0.0138,0.0208,0.1666666666666666,0.0,0.008,Financial Services,311.10308837890625,0.0028018611133491245,0.18783427339179676,1.9
BLK,2017-04-19 16:31:23,0.0236,0.0041,0.0154,0.1666666666666666,0.0,0.0195,Financial Services,311.21368408203125,-0.016970284458166063,-0.9339189131429135,1.9
BLK,2017-07-17 18:49:08,0.0332,0.0073,0.0177,0.1818181818181818,0.0,0.0259,Financial Services,352.59320068359375,-0.031277178786517146,-0.9765064531077948,1.9
BLK,2017-10-11 17:44:06,0.0415,0.004,0.0162,0.0909090909090909,0.0,0.037500000000000006,Financial Services,395.9078369140625,0.018131345462752968,0.22663675140406928,1.9
BLK,2018-01-12 16:58:09,0.023,0.011,0.021,0.1538461538461538,0.0,0.012,Financial Services,466.4006652832031,0.032737394357055694,-0.13507134422634112,1.9
BLK,2018-04-12 16:28:09,0.0279,0.01,0.0169,0.1666666666666666,0.0833333333333333,0.0179,Financial Services,449.86993408203125,0.014657999401309851,-0.2987030061396177,1.9
BLK,2018-07-16 17:15:08,0.0333,0.0161,0.0161,0.1428571428571428,0.0714285714285714,0.017200000000000003,Financial Services,427.65606689453125,-0.006172348759796442,-0.04882078325112643,1.9
BLK,2018-10-16 19:23:18,0.0303,0.0142,0.0142,0.1666666666666666,0.0,0.0161,Financial Services,348.5060729980469,-0.04436226854031078,-0.44071644469786986,1.9
BLK,2018-12-05 16:52:06,0.0309,0.0154,0.0083,0.0,0.0,0.0155,Financial Services,,,,1.9
BLK,2019-01-16 18:11:08,0.0298,0.0236,0.0195,0.2,0.0,0.006200000000000001,Financial Services,355.5336608886719,0.03077032652501477,,1.9
BLK,2019-04-16 17:30:11,0.0249,0.0177,0.0145,0.1818181818181818,0.0909090909090909,0.007199999999999998,Financial Services,404.6383056640625,0.032487905485595325,,1.9
BLK,2019-07-19 16:27:38,0.0458,0.0194,0.0042,0.2222222222222222,0.1111111111111111,0.0264,Financial Services,413.59039306640625,-0.0039987679817234945,,1.9
BLK,2019-10-15 15:53:10,0.0459,0.0471,0.0153,0.1818181818181818,0.0909090909090909,-0.0011999999999999997,Financial Services,391.5364685058594,0.023583104560536805,-0.8507769447865836,1.9
BLK,2019-12-11 15:12:31,0.0388,0.0088,0.0112,0.0,0.0,0.03,Financial Services,438.0785217285156,-0.00024257509868763627,-0.8898051644749672,1.9
BLK,2020-01-15 19:49:10,0.0342,0.0122,0.0232,0.2,0.1,0.022,Financial Services,470.31951904296875,0.023036090705208734,-0.726596175895684,1.9
